region,total_tCO2e,year,scope,country,group,group_label,population,per_capita_tCO2e,share_of_scope_total_percent
AT,3423930.7949040798,2020,terrestrial_animal_products,Austria,GN,Global North,8916864.0,0.38398374079767056,0.16682788300451068
AU,29711390.99095436,2020,terrestrial_animal_products,Australia,GN,Global North,25649248.0,1.1583727909276078,1.4476602352820236
BE,8887514.970180558,2020,terrestrial_animal_products,Belgium,GN,Global North,11538604.0,0.7702417874970454,0.4330360034883988
BG,2162877.0085939625,2020,terrestrial_animal_products,Bulgaria,GN,Global North,6550696.0,0.33017514605989384,0.10538419558008855
BR,328686503.7191504,2020,terrestrial_animal_products,Brazil,GS,Global South (ex-China),208660842.0,1.5752189081991264,16.014947985873718
CA,37690657.61123544,2020,terrestrial_animal_products,Canada,GN,Global North,38028638.0,0.991112477160908,1.8364426721733453
CH,2598327.9872608604,2020,terrestrial_animal_products,Switzerland,GN,Global North,8638167.0,0.3007962206867337,0.126601144541604
CN,579410975.7681193,2020,terrestrial_animal_products,China,CN,China,1411100000.0,0.4106094364454109,28.231267588947027
CY,823953.2279763321,2020,terrestrial_animal_products,Cyprus,GN,Global North,1302247.0,0.6327165491464615,0.040146364208823115
CZ,9310966.703803344,2020,terrestrial_animal_products,Czechia,GN,Global North,10697858.0,0.870358038385193,0.4536683002567855
DE,52585019.55905174,2020,terrestrial_animal_products,Germany,GN,Global North,83160871.0,0.63232886965616,2.5621567771883518
DK,2326029.804572794,2020,terrestrial_animal_products,Denmark,GN,Global North,5831404.0,0.3988798931737184,0.11333366570370354
EE,1162706.318535012,2020,terrestrial_animal_products,Estonia,GN,Global North,1329522.0,0.8745295817105787,0.05665179739200842
ES,18535469.25156745,2020,terrestrial_animal_products,Spain,GN,Global North,47359424.0,0.3913786884647805,0.9031237139303299
FI,2829500.8796011396,2020,terrestrial_animal_products,Finland,GN,Global North,5529543.0,0.5117060993288486,0.13786483138204988
FR,53050219.87075334,2020,terrestrial_animal_products,France,GN,Global North,67601110.0,0.7847536803871022,2.5848232350763802
GB,45986497.6044624,2020,terrestrial_animal_products,United Kingdom,GN,Global North,66744000.0,0.6889982261246315,2.2406498558798664
GR,6417543.266711395,2020,terrestrial_animal_products,Greece,GN,Global North,10698599.0,0.5998489397267245,0.3126889009756714
HR,2052150.714257569,2020,terrestrial_animal_products,Croatia,GN,Global North,3914206.0,0.5242827572839981,0.09998915859377809
HU,3271888.5959560536,2020,terrestrial_animal_products,Hungary,GN,Global North,9670419.0,0.3383398998488125,0.15941976651582432
ID,66930394.260123014,2020,terrestrial_animal_products,Indonesia,GS,Global South (ex-China),274814866.0,0.24354721138019883,3.261121982866007
IE,8106064.249168168,2020,terrestrial_animal_products,Ireland,GN,Global North,5039747.0,1.608426821657549,0.39496053489164
IN,138654526.1205062,2020,terrestrial_animal_products,India,GS,Global South (ex-China),1402617695.0,0.09885411157635951,6.75581442712124
IT,34948667.509506,2020,terrestrial_animal_products,Italy,GN,Global North,59438851.0,0.5879768353783622,1.702841723061972
JP,34416926.70655838,2020,terrestrial_animal_products,Japan,GN,Global North,126261000.0,0.27258557041808934,1.6769331408573027
KR,18427165.0320283,2020,terrestrial_animal_products,"Korea, Rep.",GN,Global North,51836239.0,0.3554880791414728,0.897846690313771
LT,3690292.194330798,2020,terrestrial_animal_products,Lithuania,GN,Global North,2810369.0,1.3130988116972533,0.17980609753110513
LU,109690.84669721396,2020,terrestrial_animal_products,Luxembourg,GN,Global North,630419.0,0.173996733437942,0.0053445857511793485
LV,1219720.0171230636,2020,terrestrial_animal_products,Latvia,GN,Global North,1900449.0,0.6418062348019145,0.059429737487017964
MT,173816.85486640054,2020,terrestrial_animal_products,Malta,GN,Global North,515490.0,0.3371876367463977,0.00846906659767235
MX,47209213.28828884,2020,terrestrial_animal_products,Mexico,GS,Global South (ex-China),126799054.0,0.37231518531903907,2.300225554475402
NL,15510871.327765722,2020,terrestrial_animal_products,Netherlands,GN,Global North,17441500.0,0.8893083351641614,0.7557529582717546
NO,3274873.715081759,2020,terrestrial_animal_products,Norway,GN,Global North,5379475.0,0.608771992635296,0.15956521370330803
PL,19963310.850633252,2020,terrestrial_animal_products,Poland,GN,Global North,37515748.0,0.5321314891717807,0.9726939843319536
