scope,year,group,group_label,total_tCO2e,population,per_capita_tCO2e,share_of_scope_total_percent
terrestrial_animal_products,2020,CN,China,579410975.7681193,1411100000.0,0.4106094364454109,28.231267588947023
terrestrial_animal_products,2020,GN,Global North,803584160.1954129,1124546446.0,0.7145851227877278,39.153900090762185
terrestrial_animal_products,2020,GS,Global South (ex-China),669378084.4120475,2218699986.0,0.30169833174193184,32.61483232029079
core_livestock_meat_dairy,2020,CN,China,571596633.3769704,1411100000.0,0.4050716698865923,28.145221321281934
core_livestock_meat_dairy,2020,GN,Global North,792631692.0356479,1124546446.0,0.7048456689850655,39.028911466475954
core_livestock_meat_dairy,2020,GS,Global South (ex-China),666655094.7321693,2218699986.0,0.3004710411226231,32.82586721224213
old_scope_including_fish,2020,CN,China,869475884.7115495,1411100000.0,0.6161688645110549,35.369719215317645
old_scope_including_fish,2020,GN,Global North,862214190.3033297,1124546446.0,0.7667217244518594,35.07431816192168
old_scope_including_fish,2020,GS,Global South (ex-China),726559252.378717,2218699986.0,0.3274707067036133,29.555962622760674
terrestrial_animal_products,2021,CN,China,637972975.2575942,1412360000.0,0.45170705433288555,32.54183601799179
terrestrial_animal_products,2021,GN,Global North,763384689.8053088,1124159392.0,0.6790715758262409,38.93885847478017
terrestrial_animal_products,2021,GS,Global South (ex-China),559112466.0780398,2234409756.0,0.25022826031647516,28.519305507228047
core_livestock_meat_dairy,2021,CN,China,637921568.6860119,1412360000.0,0.4516706566923532,32.69622959131719
core_livestock_meat_dairy,2021,GN,Global North,757060370.8649993,1124159392.0,0.673445755337335,38.8026066453215
core_livestock_meat_dairy,2021,GS,Global South (ex-China),556073508.3083905,2234409756.0,0.24886818848475817,28.50116376336131
old_scope_including_fish,2021,CN,China,943930650.2885303,1412360000.0,0.6683357290552907,39.218949553862295
old_scope_including_fish,2021,GN,Global North,830259818.4256113,1124159392.0,0.738560585210688,34.49609134471876
old_scope_including_fish,2021,GS,Global South (ex-China),632632409.0688554,2234409756.0,0.2831317789273273,26.28495910141895
terrestrial_animal_products,2022,CN,China,628515814.1695958,1412175000.0,0.44506935342262527,31.631885258715926
terrestrial_animal_products,2022,GN,Global North,790151820.7286832,1128570830.0,0.7001348960336705,39.76668711713739
terrestrial_animal_products,2022,GS,Global South (ex-China),568301554.6678505,2249788616.0,0.25260220032505065,28.601427624146687
core_livestock_meat_dairy,2022,CN,China,628485437.4126872,1412175000.0,0.44504784280467163,31.795548192854067
core_livestock_meat_dairy,2022,GN,Global North,783720556.1640918,1128570830.0,0.6944363041565516,39.64900891869534
core_livestock_meat_dairy,2022,GS,Global South (ex-China),564440024.9181527,2249788616.0,0.2508858036279408,28.55544288845059
old_scope_including_fish,2022,CN,China,959757919.6086287,1412175000.0,0.679631008627563,39.04970868508399
old_scope_including_fish,2022,GN,Global North,854747747.809594,1128570830.0,0.757371823804443,34.77715564442236
old_scope_including_fish,2022,GS,Global South (ex-China),643279427.3403258,2249788616.0,0.2859288302756377,26.173135670493647
