Producer country,Year,Commodity,Consumer country,Deforestation emissions incl. peat drainage (MtCO2),Producer country original,Consumer country original,Producer country clean,Consumer country clean,producer_group_optional,consumer_group_optional,Commodity_std,is_feed_crop,is_pasture,LUC_MtCO2_total_commodity,Area_clean,FeedShare_country,FeedShare_global_year,FeedShare_global_crop,feed_share_source,FeedShare_used,component,LUC_livestock_MtCO2,flow_type
Brazil,2018,Barley,Brazil,0.128401916603871,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Barley,True,False,0.128401916603871,Brazil,0.08252852962080792,0.5444979622828532,0.5506541535770755,consumer_country_crop_year,0.08252852962080792,Feed,0.010596821377811077,Domestic consumption
Brazil,2019,Barley,Brazil,0.12693941577353,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Barley,True,False,0.12693941577353,Brazil,0.028016316874632425,0.5821899572852126,0.5506541535770755,consumer_country_crop_year,0.028016316874632425,Feed,0.00355637489619193,Domestic consumption
Brazil,2020,Barley,Brazil,0.133187625812569,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Barley,True,False,0.133187625812569,Brazil,0.07067006866907961,0.5537307652044745,0.5506541535770755,consumer_country_crop_year,0.07067006866907961,Feed,0.009412378662045931,Domestic consumption
Brazil,2021,Barley,Brazil,0.130519540842195,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Barley,True,False,0.130519540842195,Brazil,0.0613105756832251,0.51750100920718,0.5506541535770755,consumer_country_crop_year,0.0613105756832251,Feed,0.008002228186945185,Domestic consumption
Brazil,2022,Barley,Brazil,0.0993113845097768,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Barley,True,False,0.0993113845097768,Brazil,0.05355234018515189,0.5541405711859618,0.5506541535770755,consumer_country_crop_year,0.05355234018515189,Feed,0.005318357047525991,Domestic consumption
Brazil,2018,Maize (corn),Brazil,3.28418779604214,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Maize,True,False,3.28418779604214,Brazil,0.7661642642798006,0.6059578370201967,0.6149949162218925,consumer_country_crop_year,0.7661642642798006,Feed,2.5162273265113257,Domestic consumption
Brazil,2019,Maize (corn),Brazil,3.40325366229461,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Maize,True,False,3.40325366229461,Brazil,0.7388682501131872,0.6144256430543368,0.6149949162218925,consumer_country_crop_year,0.7388682501131872,Feed,2.5145560781509144,Domestic consumption
Brazil,2020,Maize (corn),Brazil,5.85972161454112,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Maize,True,False,5.85972161454112,Brazil,0.7586021152295052,0.60909686854826,0.6149949162218925,consumer_country_crop_year,0.7586021152295052,Feed,4.445197211446945,Domestic consumption
Brazil,2021,Maize (corn),Brazil,8.42414031015556,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Maize,True,False,8.42414031015556,Brazil,0.7768320989495892,0.6138961635422985,0.6149949162218925,consumer_country_crop_year,0.7768320989495892,Feed,6.544142598983986,Domestic consumption
Brazil,2022,Maize (corn),Brazil,30.2506650047809,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Maize,True,False,30.2506650047809,Brazil,0.743394716449961,0.6309311331493709,0.6149949162218925,consumer_country_crop_year,0.743394716449961,Feed,22.488184533651854,Domestic consumption
