Producer country original,Producer country clean,Consumer country original,Consumer country clean,producer_group_optional,consumer_group_optional
Afghanistan,Afghanistan,United States,United States,Global South / other,Global North
Albania,Albania,United States,United States,Global South / other,Global North
Algeria,Algeria,United States,United States,Global South / other,Global North
Angola,Angola,United States,United States,Global South / other,Global North
Argentina,Argentina,United States,United States,Global South / other,Global North
Australia,Australia,United States,United States,Global North,Global North
Austria,Austria,United States,United States,Global North,Global North
Azerbaijan,Azerbaijan,United States,United States,Global South / other,Global North
Bahamas,Bahamas,United States,United States,Global South / other,Global North
Bangladesh,Bangladesh,United States,United States,Global South / other,Global North
Belarus,Belarus,United States,United States,Global South / other,Global North
Belgium,Belgium,United States,United States,Global North,Global North
Belize,Belize,United States,United States,Global South / other,Global North
Benin,Benin,United States,United States,Global South / other,Global North
Bhutan,Bhutan,United States,United States,Global South / other,Global North
Bolivia,Bolivia,United States,United States,Global South / other,Global North
Bosnia and Herzegovina,Bosnia and Herzegovina,United States,United States,Global South / other,Global North
Brazil,Brazil,United States,United States,Global South / other,Global North
Brunei,Brunei,United States,United States,Global South / other,Global North
Bulgaria,Bulgaria,United States,United States,Global North,Global North
Burundi,Burundi,United States,United States,Global South / other,Global North
Cambodia,Cambodia,United States,United States,Global South / other,Global North
Cameroon,Cameroon,United States,United States,Global South / other,Global North
Canada,Canada,United States,United States,Global North,Global North
Central African Republic,Central African Republic,United States,United States,Global South / other,Global North
Chad,Chad,United States,United States,Global South / other,Global North
Chile,Chile,United States,United States,Global South / other,Global North
China,China,United States,United States,China,Global North
Colombia,Colombia,United States,United States,Global South / other,Global North
Comoros,Comoros,United States,United States,Global South / other,Global North
Costa Rica,Costa Rica,United States,United States,Global South / other,Global North
Croatia,Croatia,United States,United States,Global North,Global North
Cuba,Cuba,United States,United States,Global South / other,Global North
Czechia,Czechia,United States,United States,Global North,Global North
Côte d'Ivoire,Cote d'Ivoire,United States,United States,Global South / other,Global North
Democratic Republic of the Congo,DR Congo,United States,United States,Global South / other,Global North
Denmark,Denmark,United States,United States,Global North,Global North
Dominican Republic,Dominican Republic,United States,United States,Global South / other,Global North
Ecuador,Ecuador,United States,United States,Global South / other,Global North
Egypt,Egypt,United States,United States,Global South / other,Global North
El Salvador,El Salvador,United States,United States,Global South / other,Global North
Equatorial Guinea,Equatorial Guinea,United States,United States,Global South / other,Global North
Estonia,Estonia,United States,United States,Global North,Global North
Ethiopia,Ethiopia,United States,United States,Global South / other,Global North
Fiji,Fiji,United States,United States,Global South / other,Global North
Finland,Finland,United States,United States,Global North,Global North
France,France,United States,United States,Global North,Global North
Gabon,Gabon,United States,United States,Global South / other,Global North
Georgia,Georgia,United States,United States,Global South / other,Global North
Germany,Germany,United States,United States,Global North,Global North
Ghana,Ghana,United States,United States,Global South / other,Global North
Greece,Greece,United States,United States,Global North,Global North
Guatemala,Guatemala,United States,United States,Global South / other,Global North
Guinea,Guinea,United States,United States,Global South / other,Global North
Guinea-Bissau,Guinea-Bissau,United States,United States,Global South / other,Global North
Guyana,Guyana,United States,United States,Global South / other,Global North
Haiti,Haiti,United States,United States,Global South / other,Global North
Honduras,Honduras,United States,United States,Global South / other,Global North
Hungary,Hungary,United States,United States,Global North,Global North
India,India,United States,United States,Global South / other,Global North
Indonesia,Indonesia,United States,United States,Global South / other,Global North
Iran,Iran,United States,United States,Global South / other,Global North
Ireland,Ireland,United States,United States,Global North,Global North
Italy,Italy,United States,United States,Global North,Global North
Jamaica,Jamaica,United States,United States,Global South / other,Global North
Japan,Japan,United States,United States,Global North,Global North
Kazakhstan,Kazakhstan,United States,United States,Global South / other,Global North
Kenya,Kenya,United States,United States,Global South / other,Global North
Kyrgyzstan,Kyrgyzstan,United States,United States,Global South / other,Global North
Laos,Laos,United States,United States,Global South / other,Global North
Latvia,Latvia,United States,United States,Global North,Global North
