Consumer country,Producer country,LUC_livestock_MtCO2
Brazil,Brazil,3340.465254771076
China,Brazil,318.05462014608645
RoW America,Bolivia,234.7485641634256
RoW America,Colombia,227.42589084174244
RoW Africa,DR Congo,224.7441210423488
RoW Middle East,Brazil,178.11189845544493
RoW America,Paraguay,163.05576526956077
RoW Africa,Angola,127.43307443918994
RoW America,Brazil,123.14302843984697
RoW America,Peru,117.57685805135779
RoW Asia and Pacific,Brazil,108.71543725906633
Indonesia,Indonesia,103.52698584588755
RoW Asia and Pacific,Myanmar,75.8434132742457
México,México,69.57188755904988
RoW Africa,Nigeria,68.49471851498153
United States,Brazil,68.2048251272628
RoW Africa,Ghana,56.223004579237866
RoW Africa,Mozambique,52.32029239008121
RoW America,Argentina,51.52695106056001
RoW Africa,Zambia,46.465353494282596
United States,United States,45.99603600873404
RoW America,Honduras,42.643253980117976
RoW Africa,Madagascar,40.6389016581832
RoW America,Venezuela,34.60585571017678
RoW Africa,Brazil,33.97879523685524
China,China,31.6304251524227
Russia,Russia,31.082203483258386
RoW Asia and Pacific,Cambodia,31.05636239890523
India,India,26.942358145287535
RoW Africa,Cameroon,26.82765623531474
Taiwan,Brazil,26.251694566092468
RoW Africa,Liberia,25.463466639756057
RoW America,Guatemala,24.298430243026385
RoW Asia and Pacific,Laos,23.51481121209234
Italy,Brazil,23.197350463686675
RoW Africa,Tanzania,22.83151053394986
Germany,Brazil,22.37934363969716
South Africa,South Africa,21.40099207399329
United States,México,21.351636533711176
RoW Asia and Pacific,Malaysia,20.900203226895957
RoW Asia and Pacific,Vietnam,19.59711115949096
RoW Africa,Central African Republic,19.082154915018986
RoW America,Ecuador,17.754591458124587
RoW America,Nicaragua,17.604118410656504
Japan,Brazil,16.78196628653658
RoW Asia and Pacific,Indonesia,16.285745286287394
United States,Bolivia,15.96915906416589
RoW Asia and Pacific,Thailand,15.626458179692623
UK and RoW Europe,Brazil,15.262982487446061
RoW Africa,Gabon,15.225340055673989
