Producer country clean,Commodity_std,component,LUC_livestock_MtCO2,share_of_brazil_consumption_percent
Brazil,RUMINANT_MEAT,Pasture,3266.941140492836,97.13001837624222
Brazil,Maize,Feed,38.508307748745025,1.1448974678219481
Brazil,Soybeans,Feed,20.734468408881845,0.6164602332787953
Brazil,Sorghum,Feed,13.464348467961555,0.40031098139709576
Colombia,RUMINANT_MEAT,Pasture,3.2527201270955057,0.09670721085287096
Paraguay,RUMINANT_MEAT,Pasture,3.002122864484749,0.08925665827917295
Bolivia,RUMINANT_MEAT,Pasture,2.676567292090157,0.07957750662956455
Bolivia,Sorghum,Feed,1.8475371822801243,0.054929462377331977
Peru,RUMINANT_MEAT,Pasture,1.575891070614143,0.04685310266245472
Paraguay,Maize,Feed,1.0526877359479268,0.03129764961778354
Brazil,Sunflower seed,Feed,0.7801034924815159,0.02319339813654244
Honduras,RUMINANT_MEAT,Pasture,0.5789530866793552,0.017212959012682046
Argentina,RUMINANT_MEAT,Pasture,0.5455949844349948,0.01622118323691692
Argentina,Maize,Feed,0.45560116488664487,0.013545560698715691
Venezuela,RUMINANT_MEAT,Pasture,0.4457882610600472,0.013253811478875771
Bolivia,Soybeans,Feed,0.36960550919487706,0.010988808293816732
DR Congo,RUMINANT_MEAT,Pasture,0.36758181986673716,0.010928641620106663
Myanmar,RUMINANT_MEAT,Pasture,0.342151370786125,0.010172564335487043
Guatemala,RUMINANT_MEAT,Pasture,0.3276986903352735,0.009742869077014955
México,RUMINANT_MEAT,Pasture,0.306854361800016,0.009123142572433802
Nicaragua,RUMINANT_MEAT,Pasture,0.2669140398463171,0.007935669631084583
Indonesia,Maize,Feed,0.2641094718701267,0.007852286512947443
Angola,RUMINANT_MEAT,Pasture,0.2621957081430345,0.007795388057179058
Bolivia,Sunflower seed,Feed,0.25200594990437364,0.0074924345106020624
Ecuador,RUMINANT_MEAT,Pasture,0.23593674273645165,0.007014678003707529
Peru,Maize,Feed,0.21803233090314078,0.006482358694727586
Indonesia,Soybeans,Feed,0.19119041054636332,0.00568431670211485
India,RUMINANT_MEAT,Pasture,0.162359018957748,0.004827125380206802
Paraguay,Soybeans,Feed,0.16110042827196352,0.004789705992718243
Nigeria,RUMINANT_MEAT,Pasture,0.15498332570201706,0.004607837308993312
DR Congo,Maize,Feed,0.14620057905463024,0.004346715878710711
Argentina,Soybeans,Feed,0.13775494362330526,0.004095617163011203
Cuba,RUMINANT_MEAT,Pasture,0.1264786694975185,0.0037603602159307333
Laos,RUMINANT_MEAT,Pasture,0.1229426592349565,0.0036552304547837616
Venezuela,Maize,Feed,0.11424269929740488,0.003396570371155967
Bolivia,Maize,Feed,0.10982505975134763,0.0032652287302032852
Malaysia,RUMINANT_MEAT,Pasture,0.1071483219926615,0.0031856461554005005
Honduras,Maize,Feed,0.10476236929185306,0.003114708963786633
Vietnam,RUMINANT_MEAT,Pasture,0.1045419482404438,0.00310815558561017
Argentina,Sorghum,Feed,0.0922643453071009,0.0027431279505080878
Madagascar,RUMINANT_MEAT,Pasture,0.0899267957339952,0.0026736298410450924
Mozambique,RUMINANT_MEAT,Pasture,0.08861072665102701,0.002634501552926066
Colombia,Maize,Feed,0.08630665014939176,0.002565998637409707
Cambodia,Maize,Feed,0.08587129880566184,0.002553055127809093
Ghana,RUMINANT_MEAT,Pasture,0.08046855565042425,0.002392425193144528
Zambia,RUMINANT_MEAT,Pasture,0.06982549160139585,0.002075994329469493
Russia,RUMINANT_MEAT,Pasture,0.0653248215128293,0.0019421840924286364
Argentina,Sunflower seed,Feed,0.05763259444631931,0.001713485097193102
Guatemala,Maize,Feed,0.05636698010296043,0.0016758568880698914
Cameroon,RUMINANT_MEAT,Pasture,0.05550007522589795,0.0016500827822570052
Indonesia,RUMINANT_MEAT,Pasture,0.05414240623623602,0.0016097176797823327
Papua New Guinea,RUMINANT_MEAT,Pasture,0.05066511852393432,0.0015063338094061453
Ghana,Maize,Feed,0.04987593727632653,0.0014828705188888371
United States,RUMINANT_MEAT,Pasture,0.04831866044202638,0.001436570839455478
Liberia,RUMINANT_MEAT,Pasture,0.04605692899907592,0.001369326892543486
Paraguay,Rapeseed,Feed,0.04458029401410189,0.0013254247905289107
Angola,Maize,Feed,0.04327762557292633,0.0012866949193165859
Ecuador,Maize,Feed,0.042606235684523944,0.0012667337050204786
Colombia,Soybeans,Feed,0.04125117593510988,0.001226446178339897
México,Maize,Feed,0.040776551162115586,0.0012123350233051904
China,RUMINANT_MEAT,Pasture,0.04049250103496349,0.0012038898775607236
Central African Republic,RUMINANT_MEAT,Pasture,0.03890325034752673,0.0011566395777123763
Panama,RUMINANT_MEAT,Pasture,0.037251188433637075,0.0011075218259212973
Brazil,Barley,Feed,0.03688616017052011,0.0010966691045591211
Cambodia,RUMINANT_MEAT,Pasture,0.03603391552356211,0.0010713308647010266
Thailand,Maize,Feed,0.034792029740165126,0.001034408133688999
Philippines,Maize,Feed,0.034352413672269044,0.0010213378288022705
Canada,RUMINANT_MEAT,Pasture,0.03419150494642911,0.0010165538223492578
Philippines,RUMINANT_MEAT,Pasture,0.03307799832122906,0.000983447955326679
Guinea,RUMINANT_MEAT,Pasture,0.03256420992992553,0.0009681724196672627
Thailand,RUMINANT_MEAT,Pasture,0.03213949869103631,0.0009555452529495656
Tanzania,Maize,Feed,0.03195826754233343,0.000950157036863982
United States,Soybeans,Feed,0.029810657066929203,0.0008863060410944181
Myanmar,Sorghum,Feed,0.02874737031783678,0.0008546932702983755
Kenya,RUMINANT_MEAT,Pasture,0.02817776075863315,0.0008377581053922867
Australia,RUMINANT_MEAT,Pasture,0.02757346364251726,0.0008197916384530654
Gabon,RUMINANT_MEAT,Pasture,0.02726700406762116,0.0008106802333615298
Republic of the Congo,RUMINANT_MEAT,Pasture,0.02439720056288405,0.0007253575859173002
Cambodia,Soybeans,Feed,0.023339021108558154,0.0006938966610264001
Zambia,Maize,Feed,0.022753484697206283,0.0006764879719962738
Panama,Maize,Feed,0.02221798766477693,0.0006605670127982027
China,Maize,Feed,0.021118771213389783,0.0006278860095198287
