Consumer country clean,Commodity_std,component,LUC_livestock_MtCO2,share_of_brazil_production_percent
Brazil,RUMINANT_MEAT,Pasture,3266.941140492836,74.16419989287735
China,RUMINANT_MEAT,Pasture,236.4983124216079,5.368847298582895
RoW Middle East,RUMINANT_MEAT,Pasture,167.5191821370527,3.8029231552146934
RoW America,RUMINANT_MEAT,Pasture,116.26768411466361,2.639441420870234
RoW Asia and Pacific,RUMINANT_MEAT,Pasture,95.5506676811316,2.169135749024334
China,Soybeans,Feed,77.22636072924817,1.7531479778235004
United States,RUMINANT_MEAT,Pasture,59.00024528794687,1.3393892932530727
Brazil,Maize,Feed,38.508307748745025,0.8741932317101772
RoW Africa,RUMINANT_MEAT,Pasture,29.102382851573218,0.6606653889202064
Taiwan,RUMINANT_MEAT,Pasture,24.10679854143346,0.54725853601834
Brazil,Soybeans,Feed,20.734468408881845,0.47070185645183826
Italy,RUMINANT_MEAT,Pasture,20.70848568209482,0.4701120116825799
Germany,RUMINANT_MEAT,Pasture,17.788194914202528,0.4038172671673433
Brazil,Sorghum,Feed,13.464348467961555,0.3056598170160536
UK and RoW Europe,RUMINANT_MEAT,Pasture,12.10621893860373,0.27482834942477696
Japan,RUMINANT_MEAT,Pasture,10.21007658805286,0.23178322731694775
RoW Asia and Pacific,Soybeans,Feed,10.019764136074496,0.2274628645911908
India,RUMINANT_MEAT,Pasture,9.5814459826133,0.21751242050542163
Republic of Korea,RUMINANT_MEAT,Pasture,9.22708416438513,0.20946790436898677
France,RUMINANT_MEAT,Pasture,8.92677730431471,0.20265051249026284
United States,Soybeans,Feed,7.117533794938203,0.1615781173922452
Netherlands,RUMINANT_MEAT,Pasture,6.73695125823706,0.15293835373755504
Spain,RUMINANT_MEAT,Pasture,6.73558512931926,0.15290734067249448
Indonesia,RUMINANT_MEAT,Pasture,6.099448987155268,0.13846614752647504
RoW Middle East,Soybeans,Feed,5.937715828322942,0.13479457531102407
Russia,RUMINANT_MEAT,Pasture,5.607856199928494,0.1273062936540287
México,RUMINANT_MEAT,Pasture,5.145887591156461,0.11681895067115666
Spain,Soybeans,Feed,4.49451828996719,0.10203194319841188
Belgium,RUMINANT_MEAT,Pasture,4.470755934452576,0.1014925040078896
RoW Middle East,Maize,Feed,4.3143813786974246,0.09794257968649964
Canada,RUMINANT_MEAT,Pasture,4.232876415153154,0.09609230135315718
China,Maize,Feed,3.9618908236198367,0.08994054387902811
Germany,Soybeans,Feed,3.7430601276326616,0.084972776545013
Turkey,RUMINANT_MEAT,Pasture,3.706650068318159,0.08414621653031225
RoW America,Soybeans,Feed,3.483610940555277,0.07908291182294798
Japan,Soybeans,Feed,3.445193354288773,0.0782107780976244
Australia,RUMINANT_MEAT,Pasture,3.223153769075826,0.07317016442456008
RoW America,Maize,Feed,3.1384932349833825,0.07124825016181258
Japan,Maize,Feed,3.0517075125660975,0.06927809110830961
RoW Africa,Soybeans,Feed,3.0084797037091304,0.06829675850416127
RoW Asia and Pacific,Maize,Feed,2.8921723005838404,0.06565641540538593
Republic of Korea,Soybeans,Feed,2.855545243565133,0.06482492923486574
Spain,Maize,Feed,2.5467506656325734,0.05781485411604305
UK and RoW Europe,Soybeans,Feed,2.406143423722116,0.054622870193779864
Hungary,RUMINANT_MEAT,Pasture,2.260285982248418,0.05131169929105366
Portugal,RUMINANT_MEAT,Pasture,2.208117801723336,0.050127407563065496
France,Soybeans,Feed,2.176065136995899,0.04939976658891976
Sweden,RUMINANT_MEAT,Pasture,2.032426346300971,0.04613896220728257
Poland,RUMINANT_MEAT,Pasture,1.891075683379958,0.0429301015731166
Turkey,Soybeans,Feed,1.8345593475084578,0.0416471005484472
United States,Maize,Feed,1.8242150048072125,0.041412269289828364
RoW Africa,Maize,Feed,1.7805632176354167,0.04042131177628038
Republic of Korea,Maize,Feed,1.739203821390464,0.039482394789824765
India,Soybeans,Feed,1.6145061930320237,0.03665158167197718
Italy,Soybeans,Feed,1.613823750878605,0.03663608926666441
South Africa,RUMINANT_MEAT,Pasture,1.601462203942059,0.03635546460935917
Russia,Soybeans,Feed,1.5995722748306562,0.036312560536597
Switzerland,RUMINANT_MEAT,Pasture,1.579098839185519,0.035847784494304764
Ireland,RUMINANT_MEAT,Pasture,1.546110532085648,0.0350989031105669
Austria,RUMINANT_MEAT,Pasture,1.494176710924887,0.03391993167272012
Netherlands,Soybeans,Feed,1.3149860346410813,0.029852049037758645
Taiwan,Soybeans,Feed,1.302613996139812,0.02957118620704597
Norway,RUMINANT_MEAT,Pasture,1.281517298064838,0.02909226122314619
Indonesia,Soybeans,Feed,1.215251700510644,0.027587938123438058
Belgium,Soybeans,Feed,0.971220338277513,0.022048079904241968
México,Soybeans,Feed,0.9093746850741453,0.02064409581348844
Canada,Soybeans,Feed,0.902187196337103,0.020480929619639782
Australia,Soybeans,Feed,0.833720341426642,0.018926634854215862
Italy,Maize,Feed,0.8267827269703416,0.018769141161128034
Taiwan,Maize,Feed,0.8133083646647044,0.01846325401578645
Brazil,Sunflower seed,Feed,0.7801034924815159,0.01770945629733722
Germany,Maize,Feed,0.7569847770627646,0.0171846286503585
Czechia,RUMINANT_MEAT,Pasture,0.729532107646991,0.016561414097482484
UK and RoW Europe,Maize,Feed,0.7114470949679126,0.016150858645848587
Luxembourg,RUMINANT_MEAT,Pasture,0.6696678459856582,0.015202410406457666
Portugal,Soybeans,Feed,0.6628298696861474,0.015047178640922037
Denmark,RUMINANT_MEAT,Pasture,0.6536023032410659,0.014837699788096856
Greece,RUMINANT_MEAT,Pasture,0.6486525702747474,0.014725333825765796
México,Maize,Feed,0.6288234135721085,0.014275183829742341
Finland,RUMINANT_MEAT,Pasture,0.6286641452632937,0.014271568213120074
India,Maize,Feed,0.5883541754250988,0.013356474695302744
Romania,RUMINANT_MEAT,Pasture,0.5829417099471227,0.013233604048309283
Portugal,Maize,Feed,0.5460119797443554,0.012395246766997844
Poland,Soybeans,Feed,0.5409893531781585,0.012281226016508747
Slovakia,RUMINANT_MEAT,Pasture,0.4508907561515515,0.010235860008187868
Romania,Soybeans,Feed,0.4490346834821516,0.01019372452470367
France,Maize,Feed,0.43471487589699553,0.009868644571774722
Netherlands,Maize,Feed,0.4102841448108466,0.00931403230730982
Turkey,Maize,Feed,0.409989543440172,0.009307344438136847
Ireland,Soybeans,Feed,0.3654264995674728,0.008295700104345343
Switzerland,Soybeans,Feed,0.3295073595488863,0.007480284654308545
Belgium,Maize,Feed,0.31584395386909914,0.007170105956108813
Sweden,Soybeans,Feed,0.30147538429083787,0.00684391903673991
Slovenia,RUMINANT_MEAT,Pasture,0.29478992296202267,0.006692149577467818
South Africa,Soybeans,Feed,0.2866629677201251,0.006507656160794376
RoW Middle East,Sorghum,Feed,0.28254446135453704,0.006414160221864945
China,Sorghum,Feed,0.2816267944813733,0.006393327881614664
Russia,Maize,Feed,0.2787541142119486,0.006328113962977062
Norway,Soybeans,Feed,0.2755560228431764,0.0062555127506045815
United States,Sorghum,Feed,0.24919288600989442,0.005657032133469298
Austria,Soybeans,Feed,0.2188995422933801,0.00496933024286337
Greece,Soybeans,Feed,0.218836590743476,0.00496790115334817
RoW America,Sorghum,Feed,0.21372033572068808,0.004851754904029538
Denmark,Soybeans,Feed,0.2083687156158214,0.004730265533349232
RoW Asia and Pacific,Sorghum,Feed,0.20511933325197107,0.004656499942603195
Slovenia,Soybeans,Feed,0.19406303382069412,0.004405506255899359
Bulgaria,RUMINANT_MEAT,Pasture,0.1795238951444619,0.004075447175957783
Canada,Maize,Feed,0.17940036035501478,0.004072642760933366
Croatia,RUMINANT_MEAT,Pasture,0.1733626751486682,0.003935578738878104
Czechia,Soybeans,Feed,0.1610464983653036,0.0036559840484333066
Estonia,RUMINANT_MEAT,Pasture,0.15078172139959461,0.003422959044920142
Lithuania,RUMINANT_MEAT,Pasture,0.1388435636893576,0.0031519459238691923
Finland,Soybeans,Feed,0.138116359820859,0.0031354373641043023
Ireland,Maize,Feed,0.13743790829758928,0.0031200355517588822
Australia,Maize,Feed,0.13068506468896382,0.002966736419115223
Hungary,Soybeans,Feed,0.1304910664430479,0.0029623323836367003
Luxembourg,Soybeans,Feed,0.1302977879555274,0.002957944687695139
Switzerland,Maize,Feed,0.11487304456275854,0.0026077811239570187
Malta,RUMINANT_MEAT,Pasture,0.11074077759167235,0.002513972799755579
Poland,Maize,Feed,0.10425570737051099,0.0023667525029953504
China,Sunflower seed,Feed,0.08575840807213066,0.001946837560041554
Luxembourg,Maize,Feed,0.08216315235148006,0.0018652201532791787
Belgium,Sorghum,Feed,0.07589499569114184,0.0017229241021642007
RoW Africa,Sorghum,Feed,0.07240137615096615,0.0016436139809270101
