Producer country clean,Domestic consumption,International consumption,Total,Domestic share (%),International share (%)
Brazil,3340.465254771076,1064.5457144183715,4405.010969189448,75.8333016225325,24.166698377467497
Bolivia,0.0,325.00899817668926,325.00899817668926,0.0,100.0
Colombia,0.0,279.3254957805843,279.3254957805843,0.0,100.0
DR Congo,0.0,264.89068495769976,264.89068495769976,0.0,100.0
Paraguay,0.0,218.9448061450073,218.9448061450073,0.0,100.0
Indonesia,103.52698584588755,70.50968662695351,174.03667247284108,59.48573043537317,40.514269564626815
Angola,0.0,149.96240467644793,149.96240467644793,0.0,100.0
Peru,0.0,143.43373475865118,143.43373475865118,0.0,100.0
Myanmar,0.0,124.6634082739288,124.6634082739288,0.0,100.0
México,69.57188755904988,32.455734015794846,102.02762157484473,68.189267264271,31.810732735729008
Argentina,0.0,91.13367586064312,91.13367586064312,0.0,100.0
Nigeria,0.0,81.96473049761117,81.96473049761117,0.0,100.0
Ghana,0.0,67.08664239289116,67.08664239289116,0.0,100.0
Mozambique,0.0,61.73226582645493,61.73226582645493,0.0,100.0
United States,45.99603600873404,14.308304198619703,60.30434020735374,76.27317677397473,23.72682322602527
Zambia,0.0,57.654181003266494,57.654181003266494,0.0,100.0
Cambodia,0.0,54.53681952212506,54.53681952212506,0.0,100.0
Honduras,0.0,52.3575083131559,52.3575083131559,0.0,100.0
India,26.942358145287535,20.75389704519975,47.696255190487285,56.487365806154564,43.51263419384544
Madagascar,0.0,47.59297423780194,47.59297423780194,0.0,100.0
Russia,31.082203483258386,12.457970814595622,43.54017429785401,71.38741170540136,28.61258829459864
Venezuela,0.0,43.204456547012796,43.204456547012796,0.0,100.0
Laos,0.0,39.68300176941777,39.68300176941777,0.0,100.0
China,31.6304251524227,4.983977670656,36.6144028230787,86.38793128830027,13.612068711699735
Malaysia,0.0,34.975096037420805,34.975096037420805,0.0,100.0
Vietnam,0.0,33.15226391379246,33.15226391379246,0.0,100.0
Cameroon,0.0,31.39161097611349,31.39161097611349,0.0,100.0
Guatemala,0.0,29.78340056470362,29.78340056470362,0.0,100.0
Liberia,0.0,29.62887760937281,29.62887760937281,0.0,100.0
Tanzania,0.0,28.596002516334874,28.596002516334874,0.0,100.0
South Africa,21.40099207399329,7.154559818702714,28.555551892696005,74.94511804363788,25.054881956362124
Thailand,0.0,25.820944571445118,25.820944571445118,0.0,100.0
Canada,13.896280638787715,9.593374970850475,23.48965560963819,59.15915017964692,40.84084982035307
Nicaragua,0.0,23.220882122486927,23.220882122486927,0.0,100.0
Philippines,0.0,23.06239880782685,23.06239880782685,0.0,100.0
Central African Republic,0.0,22.274920218933364,22.274920218933364,0.0,100.0
Ecuador,0.0,21.743499147617577,21.743499147617577,0.0,100.0
Gabon,0.0,17.99769238182119,17.99769238182119,0.0,100.0
Guinea,0.0,17.93800255354408,17.93800255354408,0.0,100.0
Papua New Guinea,0.0,17.129753973172548,17.129753973172548,0.0,100.0
Kenya,0.0,16.31658862724387,16.31658862724387,0.0,100.0
Republic of the Congo,0.0,14.683448077901852,14.683448077901852,0.0,100.0
Australia,6.491283387121509,6.708793480946893,13.200076868068402,49.176102927280866,50.823897072719134
Cuba,0.0,10.426572528879586,10.426572528879586,0.0,100.0
Malawi,0.0,9.848545392330688,9.848545392330688,0.0,100.0
Chad,0.0,7.970739923438744,7.970739923438744,0.0,100.0
Uganda,0.0,7.650476832538082,7.650476832538082,0.0,100.0
Norway,4.77093094633513,2.200934921472281,6.971865867807411,68.43119240668273,31.568807593317267
France,3.4829124933394553,1.8912590689028992,5.3741715622423545,64.80836074920954,35.19163925079046
Cote d'Ivoire,0.0,4.836075757255679,4.836075757255679,0.0,100.0
Ukraine,0.0,4.298067688527646,4.298067688527646,0.0,100.0
Panama,0.0,4.1611609882472775,4.1611609882472775,0.0,100.0
Ethiopia,0.0,4.1179644948312895,4.1179644948312895,0.0,100.0
Sudan and South Sudan,0.0,3.3298439663324158,3.3298439663324158,0.0,100.0
Uruguay,0.0,3.1742015225826914,3.1742015225826914,0.0,100.0
Spain,1.5654977018666116,1.1884806642071437,2.7539783660737553,56.844952783651806,43.155047216348194
Turkey,1.7587241673893674,0.7280649876507634,2.486789155040131,70.72268928891103,29.277310711088983
Zimbabwe,0.0,2.395414650804439,2.395414650804439,0.0,100.0
Belize,0.0,2.2331769333058906,2.2331769333058906,0.0,100.0
Germany,1.5376007412166592,0.6704041661722617,2.208004907388921,69.63755995610312,30.362440043896864
Guinea-Bissau,0.0,2.1208912735515097,2.1208912735515097,0.0,100.0
Costa Rica,0.0,1.813562416768335,1.813562416768335,0.0,100.0
Equatorial Guinea,0.0,1.714951057995434,1.714951057995434,0.0,100.0
Sweden,1.1172472504329487,0.47169172827659744,1.588938978709546,70.31404386217015,29.685956137829848
Suriname,0.0,1.5826593199717183,1.5826593199717183,0.0,100.0
North Korea,0.0,1.3616241605756159,1.3616241605756159,0.0,100.0
Poland,0.5567622821163828,0.6978294243324776,1.2545917064488603,44.37796609482669,55.62203390517332
Finland,0.9243116523119763,0.2862773839411467,1.210589036253123,76.35222396964706,23.64777603035294
Czechia,0.7436113012427986,0.4538865832821602,1.1974978845249589,62.09708683851123,37.90291316148877
Sierra Leone,0.0,1.15735030206863,1.15735030206863,0.0,100.0
New Zealand,0.0,1.0718747520756842,1.0718747520756842,0.0,100.0
Sri Lanka,0.0,1.0361902015388886,1.0361902015388886,0.0,100.0
Benin,0.0,1.016834522477472,1.016834522477472,0.0,100.0
