Area_clean,Commodity_std,Year,DomesticUse_total_t,Feed_t,FeedShare_country
Afghanistan,Barley,2018,70365.0,40000.0,0.5684644354437576
Afghanistan,Barley,2019,123576.0,88000.0,0.7121123842817375
Afghanistan,Barley,2020,127757.0,91000.0,0.7122897375486275
Afghanistan,Barley,2021,63600.0,46000.0,0.7232704402515723
Afghanistan,Barley,2022,93334.81,67000.0,0.717845785511322
Afghanistan,Maize,2018,122498.04000000001,68000.0,0.555110922591088
Afghanistan,Maize,2019,184671.0,118000.0,0.6389741756962382
Afghanistan,Maize,2020,271776.0,174000.0,0.6402331331684917
Afghanistan,Maize,2021,270375.52,169000.0,0.6250565879632889
Afghanistan,Maize,2022,309735.39,199000.0,0.6424838956891558
Afghanistan,Rapeseed,2018,270.0,154.91803278688525,0.5737704918032787
Afghanistan,Rapeseed,2020,0.0,2654.934426229508,
Afghanistan,Rapeseed,2021,1953.96,5017.32786885246,1.0
Afghanistan,Rapeseed,2022,1940.35,2175.786885245902,1.0
Afghanistan,Sorghum,2018,0.0,0.0,
Afghanistan,Sorghum,2019,248.0,248.0,1.0
Afghanistan,Sorghum,2020,720.0,273.23,0.37948611111111114
Afghanistan,Sorghum,2021,35206.94,15545.33,0.4415416392336283
Afghanistan,Sorghum,2022,484.0,213.71,0.4415495867768595
Afghanistan,Soybeans,2018,0.0,8355.0875,
Afghanistan,Soybeans,2019,3260.35,14115.75,1.0
Afghanistan,Soybeans,2020,10751.49,32972.25,1.0
Afghanistan,Soybeans,2021,600.0,40440.399999999994,1.0
Afghanistan,Soybeans,2022,3192.0,55059.362499999996,1.0
Afghanistan,Sunflower seed,2018,9253.01,8510.016949152543,0.9197025561576766
Afghanistan,Sunflower seed,2019,9064.18,8777.93220338983,0.9684198905350323
Afghanistan,Sunflower seed,2020,7266.16,6799.830508474577,0.9358217419482336
Afghanistan,Sunflower seed,2021,8557.5,7890.016949152542,0.9220002277712582
Afghanistan,Sunflower seed,2022,8001.0199999999995,7358.7118644067805,0.9197217185317348
Albania,Barley,2018,15177.83,8118.73,0.5349071639358195
Albania,Barley,2019,13999.66,7490.6,0.5350558513563901
Albania,Barley,2020,18986.510000000002,10240.56,0.5393597875544267
Albania,Barley,2021,20587.0,11074.3,0.5379268470393938
Albania,Barley,2022,22369.449999999997,12063.71,0.5392939924763461
Albania,Maize,2018,465658.0,410000.0,0.8804745113366462
Albania,Maize,2019,476596.33,420000.0,0.8812489177161729
Albania,Maize,2020,440573.98,384783.43,0.8733684862642138
Albania,Maize,2021,483700.78,427681.28,0.8841856322828341
Albania,Maize,2022,451893.36,397061.25,0.8786613948034112
Albania,Rapeseed,2018,0.0,0.0,
Albania,Rapeseed,2019,0.8,0.0,0.0
Albania,Rapeseed,2020,0.04,0.0,0.0
Albania,Rapeseed,2021,0.0,0.0,
Albania,Rapeseed,2022,0.15,0.0,0.0
Albania,Sorghum,2018,0.0,0.0,
Albania,Sorghum,2019,0.9,0.9,1.0
Albania,Sorghum,2020,0.0,0.0,
Albania,Sorghum,2021,0.0,0.0,
Albania,Sorghum,2022,1.0,1.0,1.0
Albania,Soybeans,2018,688.87,14248.287499999999,1.0
Albania,Soybeans,2019,671.51,12045.499999999998,1.0
Albania,Soybeans,2020,521.4000000000001,27448.0375,1.0
Albania,Soybeans,2021,387.46999999999997,5579.1375,1.0
Albania,Soybeans,2022,686.7199999999999,10793.025,1.0
Albania,Sunflower seed,2018,1090.88,1442.1186440677968,1.0
Albania,Sunflower seed,2019,901.64,2434.0338983050847,1.0
Albania,Sunflower seed,2020,1206.6599999999999,992.3559322033899,0.822398962593763
Albania,Sunflower seed,2021,1193.57,2740.305084745763,1.0
Albania,Sunflower seed,2022,903.79,4434.71186440678,1.0
Algeria,Barley,2018,2314451.3200000003,1448385.84,0.6258009522533401
Algeria,Barley,2019,2305746.0,1507698.01,0.6538872928761451
Algeria,Barley,2020,2013456.67,1294754.94,0.6430508087367979
Algeria,Barley,2021,1768730.6099999999,1186616.89,0.6708861616863181
Algeria,Barley,2022,1290421.99,808228.88,0.6263291281947233
Algeria,Maize,2018,4108379.3400000003,3195909.2,0.7779002218427084
Algeria,Maize,2019,4412573.640000001,3440469.68,0.7796968301700682
Algeria,Maize,2020,5005299.67,3903146.48,0.7798027565450442
Algeria,Maize,2021,4388136.81,3466871.36,0.7900554404091152
Algeria,Maize,2022,3717286.5999999996,2774788.4,0.7464553311547192
Algeria,Rapeseed,2018,24153.41,19901.72131147541,0.8239714935272249
Algeria,Rapeseed,2019,23899.649999999998,19647.213114754097,0.8220711648394056
Algeria,Rapeseed,2020,24166.170000000002,19854.180327868853,0.8215691740920821
Algeria,Rapeseed,2021,24263.89,19943.032786885247,0.8219223210657998
Algeria,Rapeseed,2022,24668.69,20244.77049180328,0.8206666220137057
Algeria,Sorghum,2018,3770.59,9.41,0.0024956306572711433
Algeria,Sorghum,2019,965.52,2.37,0.002454635843897589
Algeria,Sorghum,2020,351.74,0.84,0.0023881275942457497
Algeria,Sorghum,2021,637.0,1.52,0.0023861852433281006
Algeria,Sorghum,2022,1341.1799999999998,3.21,0.0023934147541717
Algeria,Soybeans,2018,33209.11,1817521.8124999998,1.0
Algeria,Soybeans,2019,100264.64,1793366.25,1.0
Algeria,Soybeans,2020,705822.11,927716.25,1.0
Algeria,Soybeans,2021,989439.6,599278.75,0.6056749194190327
Algeria,Soybeans,2022,1579144.21,288417.5,0.1826416474021711
Algeria,Sunflower seed,2018,11090.839999999998,37152.542372881355,1.0
Algeria,Sunflower seed,2019,7187.7300000000005,23559.322033898305,1.0
Algeria,Sunflower seed,2020,6587.919999999999,26497.627118644068,1.0
Algeria,Sunflower seed,2021,9793.44,28135.593220338986,1.0
Algeria,Sunflower seed,2022,14289.26,29322.033898305086,1.0
Angola,Barley,2018,0.09,0.0,0.0
Angola,Barley,2019,0.0,0.0,
Angola,Barley,2020,123.4,123.4,1.0
Angola,Barley,2021,160.27,120.2,0.7499844013227678
Angola,Barley,2022,3.93,3.49,0.8880407124681934
Angola,Maize,2018,2785609.98,1129583.3,0.4055066244413728
Angola,Maize,2019,3115679.48,1346935.45,0.4323087335029725
Angola,Maize,2020,2935067.0700000003,1200115.87,0.4088887379326565
Angola,Maize,2021,3039968.0,1039573.0,0.3419684022989716
Angola,Maize,2022,3132111.4299999997,1290373.43,0.41198196770413115
Angola,Rapeseed,2018,0.0,0.0,
Angola,Rapeseed,2019,1.25,424.672131147541,1.0
Angola,Rapeseed,2020,1.1,1.0,0.9090909090909091
