Producer country,LUC_livestock_MtCO2,share_percent
Brazil,4405.010969189448,58.39547697241343
Bolivia,325.00899817668926,4.308514916671432
Colombia,279.3254957805843,3.7029069100512304
DR Congo,264.89068495769976,3.51155036885197
Paraguay,218.9448061450073,2.9024641425178777
Indonesia,174.03667247284108,2.307134890429865
Angola,149.96240467644793,1.987991905187612
Peru,143.43373475865118,1.9014439268711496
Myanmar,124.6634082739288,1.6526131803259305
México,102.02762157484473,1.352539566393012
Argentina,91.13367586064312,1.2081228644728714
Nigeria,81.96473049761117,1.086573805559456
Ghana,67.08664239289116,0.8893409138845954
Mozambique,61.73226582645493,0.8183600750912493
United States,60.30434020735375,0.7994306335548333
Zambia,57.654181003266494,0.76429852790108
Cambodia,54.53681952212506,0.7229729076336281
Honduras,52.3575083131559,0.6940826464267421
India,47.696255190487285,0.6322902692246778
Madagascar,47.59297423780194,0.6309211147466502
Russia,43.54017429785401,0.5771947591887716
Venezuela,43.204456547012796,0.5727442826007223
Laos,39.68300176941777,0.5260617583544127
China,36.6144028230787,0.48538256360056
Malaysia,34.975096037420805,0.4636509260808874
Vietnam,33.15226391379246,0.4394863662093144
Cameroon,31.39161097611349,0.41614609105500233
Guatemala,29.78340056470362,0.3948266857906016
Liberia,29.62887760937281,0.39277823648074894
Tanzania,28.596002516334874,0.37908582251566525
South Africa,28.555551892696005,0.3785495846997449
Thailand,25.820944571445118,0.34229798397193034
Canada,23.489655609638188,0.3113930141915059
Nicaragua,23.220882122486927,0.30782999105955106
Philippines,23.06239880782685,0.3057290408425196
Central African Republic,22.274920218933364,0.2952897506510449
Ecuador,21.743499147617577,0.2882449130445709
Gabon,17.99769238182119,0.2385882437955899
Guinea,17.93800255354408,0.2377969595020835
Papua New Guinea,17.129753973172548,0.22708232980122797
Kenya,16.31658862724387,0.21630252049653506
Republic of the Congo,14.683448077901852,0.19465262631718758
Australia,13.200076868068402,0.1749881646549481
Cuba,10.426572528879586,0.13822092164356667
Malawi,9.848545392330688,0.13055824598217503
Chad,7.970739923438744,0.10566492635497579
Uganda,7.650476832538082,0.10141932604192032
Norway,6.971865867807411,0.09242325060843531
France,5.3741715622423545,0.07124325317320808
Cote d'Ivoire,4.836075757255679,0.0641099312793846
Ukraine,4.298067688527646,0.056977772470217895
Panama,4.1611609882472775,0.055162854841292575
Ethiopia,4.1179644948312895,0.054590216122750064
Sudan and South Sudan,3.3298439663324158,0.044142415993455315
Uruguay,3.1742015225826914,0.04207912607125347
Spain,2.7539783660737553,0.03650839495824836
Turkey,2.486789155040131,0.032966373944152604
Zimbabwe,2.395414650804439,0.031755058513775164
Belize,2.2331769333058906,0.029604337672781058
Germany,2.2080049073889207,0.029270642145104796
Guinea-Bissau,2.1208912735515097,0.028115811377527423
Costa Rica,1.813562416768335,0.024041675057603046
Equatorial Guinea,1.714951057995434,0.02273442352730755
Sweden,1.588938978709546,0.021063931552224222
Suriname,1.5826593199717183,0.020980684615999928
North Korea,1.3616241605756159,0.018050509492512346
Poland,1.2545917064488605,0.01663162285318806
Finland,1.2105890362531229,0.016048296969980846
Czechia,1.1974978845249589,0.01587475278254718
Sierra Leone,1.15735030206863,0.015342532262956052
New Zealand,1.0718747520756842,0.014209416920853762
Sri Lanka,1.0361902015388886,0.013736361038878105
Benin,1.016834522477472,0.01347977050622743
Nepal,0.9711908551803348,0.012874690577657598
Serbia and Montenegro,0.8391461808269333,0.011124226891081867
Bosnia and Herzegovina,0.8296802317596252,0.010998740572285315
Italy,0.709190492241072,0.00940145605729069
Haiti,0.6698683243297364,0.008880177729760375
Switzerland,0.6329199815821442,0.008390368257507715
Japan,0.5811841426504486,0.007704526834611046
Guyana,0.543164383757436,0.007200514025003411
Republic of Korea,0.5306242902839892,0.007034274997499848
Bhutan,0.5265293347863925,0.006979989802494542
Hungary,0.5129064084267843,0.006799396090448516
Croatia,0.45086744535419176,0.005976970252048254
Bulgaria,0.4304969055447773,0.005706926114433955
Kazakhstan,0.42683056807578496,0.005658322938019382
Rwanda,0.41728343392214484,0.005531760380849628
Fiji,0.4039592106207923,0.005355126456346009
Dominican Republic,0.3943987436426645,0.005228387151229247
Romania,0.39239754412611805,0.005201858045830176
Netherlands,0.37686796368700665,0.004995988579609473
United Kingdom,0.3450968255534484,0.0045748112481017265
New Caledonia,0.3266842959312052,0.004330723672138792
Chile,0.29433116734678333,0.0039018311248894093
Jamaica,0.2545564184004302,0.003374553110730985
Mali,0.23937401434965228,0.0031732860236943737
Denmark,0.23761106132360338,0.0031499152571841083
Bangladesh,0.23569711752697214,0.0031245428661311886
Togo,0.229389503517581,0.0030409253379995735
Moldova,0.19925525685192388,0.002641447625105432
Timor-Leste,0.19031786979611265,0.0025229682424974006
Belarus,0.18698937957553022,0.002478843772572485
Ireland,0.17348982226146734,0.002299885514855322
Slovakia,0.17283592482160595,0.0022912170567836337
Georgia,0.16551512190404274,0.002194168086603475
Greece,0.15560475209499874,0.0020627902589385834
Swaziland,0.14462945121009113,0.0019172950639044007
Bahamas,0.1323803622035818,0.0017549137667826193
Algeria,0.10591591259879675,0.0014040850927354838
Brunei,0.09750610033217284,0.0012925995591027896
Vanuatu,0.08452513515662886,0.001120516070936661
Austria,0.08277944928308827,0.0010973742081938846
Morocco,0.07792548387081502,0.0010330271208790372
Portugal,0.07428500494005158,0.0009847667408125899
Slovenia,0.06586485586191908,0.000873144176184368
Comoros,0.05953813738848615,0.0007892733877776194
Burundi,0.05679483060754685,0.0007529064617755977
El Salvador,0.056130165684626025,0.0007440952634670641
Pakistan,0.05506259637374309,0.000729942922066291
Somalia,0.05228261439144346,0.0006930898075186617
Belgium,0.04407047759098828,0.0005842247788548329
Syria,0.042334344256599675,0.0005612095503211377
Senegal,0.04136894683479038,0.0005484116609835624
Luxembourg,0.041061964422656645,0.0005443421173424509
Trinidad and Tobago,0.04066801903455913,0.0005391197401452223
Mongolia,0.04062327951385123,0.000538526646128084
Puerto Rico,0.030765994634592488,0.00040785254424651905
North Macedonia,0.023843247730901566,0.0003160804441932209
Tunisia,0.023119071998611396,0.00030648033477358134
Egypt,0.020997736860573567,0.00027835863926124223
Albania,0.02037644819697959,0.0002701224627563743
Namibia,0.0178719667384321,0.0002369215489871726
Lesotho,0.016604736174734052,0.00022012237783441963
Mauritius,0.012228620115996335,0.00016210994918803895
Azerbaijan,0.011484708630239239,0.00015224821074064622
Iran,0.011299650972496161,0.00014979497503547084
Uzbekistan,0.010909699487200521,0.0001446255434178851
Botswana,0.009378042122856395,0.00012432097142594685
Afghanistan,0.00927331824419938,0.00012293268865267993
Solomon Islands,0.008249337186539151,0.00010935817937426416
Israel,0.006490114005371926,8.603685793290353e-05
Kyrgyzstan,0.005958644528548818,7.899137863388715e-05
Cyprus,0.005107088230737249,6.77026357618758e-05
Armenia,0.003300600530701788,4.375474740785886e-05
Saint Kitts and Nevis,0.003053455646962824,4.047844606192053e-05
Barbados,0.002178182480934584,2.8875298108629864e-05
Gambia,0.0019494655147001877,2.584328832968519e-05
Lebanon,0.0017210866045154474,2.281576002522518e-05
Antigua and Barbuda,0.001386053026973107,1.837435325025885e-05
Libya,0.0013409022981497062,1.7775808010817653e-05
Singapore,0.000865691480387289,1.1476127360807102e-05
Saint Vincent and the Grenadines,0.000373239854290635,4.947892177536676e-06
Palestine,0.0003343224603136526,4.43197977693092e-06
Grenada,0.000332893487088822,4.413036447702356e-06
Burkina Faso,0.00014408472518674447,1.9100738478449846e-06
Cabo Verde,-3.692502503669818e-05,-4.895003586411191e-07
Estonia,-0.0024321807609215883,-3.224245220058505e-05
Lithuania,-0.01020279241632942,-0.0001352543577687639
Latvia,-0.010533258853710523,-0.00013963521978459554
